created_on,town,location,title,description,url_id,bedrooms,price
,Nairobi,Woodley/Kenyatta Golf Course,Ngumo Spacious 4 Bedrooms Maisonette With 3 Rooms Extension Guest Wing,"- Renovated spacious sitting room and large kitchen
- Floors tiled with ceramic tiles
- Detached 3...",10JEdIoKyY9rCaU9f8XrrKOp.,1,85000
,Nairobi,Woodley/Kenyatta Golf Course,One Bedroom With A Separated Toilet And Washroom,"I have 2 units remaining for ksh.27000  
ample parking
within a gated community
has a roof top for...",1Dpf1slMLSpGNAKrJy71QM40.,1,27000
,Nairobi,Woodley/Kenyatta Golf Course,An Own Compound of Five Bedroom Mansionette in Banana,An own compound of mansionette house of five bedroom all ensuite in gated community in banana centre,1tCf9BnQ3HdjAasXL12RcSSQ.,1,75000
,Nairobi,Woodley/Kenyatta Golf Course,BIGGEST ONE BEDROOM IN EAST AFRICA,"SPACIOUS
TOILET AND WASHROOM ARE SEPARATED
TARMACKED TO THE APARTMENT'S GATE
HAS PARKING
ACCESSIBLE...",2uxPTd8CLy3gMdVWXTTdUzBi.,1,29000
,Nairobi,Woodley/Kenyatta Golf Course,Two Bedroom Apartment,"#2bedroom to let off Ngong Rd at Jamhuri near CITAM going for ksh32,500 inclusive of service...",3bTqdIm6ndn68jfHnfX1IkpA.,2,32500
,Nairobi,Woodley/Kenyatta Golf Course,One Bedroom Master Ensuite Apartment,Executive one bedroom master ensuite to let along ngong rd near mash park hotel and citam...,3iR2LVqEurbbcoM2gYzgIGZq.,1,45000
,Nairobi,Woodley/Kenyatta Golf Course,2 Bedroom House to Let in Jamhuri,"Spacious two bedroom to let with water available full time, parking and security also available 24...",4amJ8pQyOLM9F42MOIqXhx5J.,2,27000
,Nairobi,Woodley/Kenyatta Golf Course,3bedroom Duplex To Rent On Ngong Road Near Coptic Hospital,"Very spacious 3 bedroom master en-suite duplexes near Coptic hospital, along Ngong road, Kilimani...",54ILTGjN4SWbs2b3QmoVGdOW.,3,75000
,Nairobi,Woodley/Kenyatta Golf Course,Two Bedroom Apartment,"#2bedroom to let along Ngong Rd at Jamhuri Estate going for #ksh35k
✓Spacious
✓separate bathroom and...",6x6o7k77R0G4fMyZMroIdMkC.,2,35000
,Nairobi,Woodley/Kenyatta Golf Course,EXECUTIVE 2 Bedroom Apartment to Let in Woodley,"Executive 2 bedroom apartment to let in woodley estate off ngong road.
Master bedroom ensuite,...",6y2olxERvnX94NNLyNurL2jH.,2,55000
